"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",0.05,0.586791443850267,0.0103270795832375,0.00103270795832375,"weighted","WT"
"2",0.1,0.542112299465241,0.0142520181639335,0.00142520181639335,"weighted","WT"
"3",0.15,0.494438502673797,0.0184452245100365,0.00184452245100365,"weighted","WT"
"4",0.2,0.450909090909091,0.0184524268015794,0.00184524268015794,"weighted","WT"
"5",0.25,0.406604278074866,0.0193306036294646,0.00193306036294646,"weighted","WT"
"6",0.3,0.369491978609626,0.0186671067234813,0.00186671067234813,"weighted","WT"
"7",0.35,0.32879679144385,0.0203610968529723,0.00203610968529723,"weighted","WT"
"8",0.4,0.283877005347594,0.0187457042774003,0.00187457042774003,"weighted","WT"
"9",0.45,0.24903743315508,0.01840736624575,0.001840736624575,"weighted","WT"
"10",0.5,0.214705882352941,0.0190265327420756,0.00190265327420756,"weighted","WT"
"11",0.55,0.179224598930481,0.0196279231605606,0.00196279231605606,"weighted","WT"
"12",0.6,0.15,0.0191476015810579,0.00191476015810579,"weighted","WT"
"13",0.65,0.116764705882353,0.0157843706847667,0.00157843706847667,"weighted","WT"
"14",0.7,0.0902941176470588,0.0151198110730928,0.00151198110730928,"weighted","WT"
"15",0.75,0.0638235294117647,0.0152425368950383,0.00152425368950383,"weighted","WT"
"16",0.8,0.0412032085561497,0.0123385940264002,0.00123385940264002,"weighted","WT"
"17",0.85,0.0240374331550802,0.00970021458810283,0.000970021458810283,"weighted","WT"
"18",0.9,0.0123529411764706,0.00676401676838997,0.000676401676838997,"weighted","WT"
"19",0.95,0.0039572192513369,0.00390311060995023,0.000390311060995023,"weighted","WT"
"20",1,0,0,0,"weighted","WT"
"21",0.05,0.520695187165775,0.0134073882572429,0.00134073882572429,"unweighted","WT"
"22",0.1,0.482272727272727,0.0171718456697366,0.00171718456697366,"unweighted","WT"
"23",0.15,0.440828877005348,0.0193134115985365,0.00193134115985365,"unweighted","WT"
"24",0.2,0.406577540106952,0.0187602025715441,0.00187602025715441,"unweighted","WT"
"25",0.25,0.362807486631016,0.0231875320006486,0.00231875320006486,"unweighted","WT"
"26",0.3,0.330641711229947,0.0242903360416676,0.00242903360416676,"unweighted","WT"
"27",0.35,0.296524064171123,0.0226321483102924,0.00226321483102924,"unweighted","WT"
"28",0.4,0.258770053475936,0.0213889563620112,0.00213889563620112,"unweighted","WT"
"29",0.45,0.229839572192513,0.0205287491879835,0.00205287491879835,"unweighted","WT"
"30",0.5,0.193716577540107,0.0222000613230313,0.00222000613230313,"unweighted","WT"
"31",0.55,0.161604278074866,0.0201072219503279,0.00201072219503279,"unweighted","WT"
"32",0.6,0.137326203208556,0.0203151689143484,0.00203151689143484,"unweighted","WT"
"33",0.65,0.107727272727273,0.0188962638153002,0.00188962638153002,"unweighted","WT"
"34",0.7,0.0851069518716578,0.0155167499840857,0.00155167499840857,"unweighted","WT"
"35",0.75,0.0596791443850267,0.0149228263700046,0.00149228263700046,"unweighted","WT"
"36",0.8,0.0415775401069519,0.0135773477942441,0.00135773477942441,"unweighted","WT"
"37",0.85,0.0244385026737968,0.00966684268303476,0.000966684268303476,"unweighted","WT"
"38",0.9,0.0115775401069519,0.00725119022488548,0.000725119022488548,"unweighted","WT"
"39",0.95,0.00336898395721925,0.00413908893655484,0.000413908893655485,"unweighted","WT"
"40",1,0,0,0,"unweighted","WT"
