"","Group","Sub_class","Abundance(%)"
"1","Arabidopsis_00h","Alcohols and polyols",0.087834823590488
"2","Arabidopsis_00h","Amino acids, peptides, and analogues",41.2055076991728
"3","Arabidopsis_00h","Fatty acids and conjugates",0
"4","Arabidopsis_00h","Methoxyphenols",0.00292906761289864
"5","Arabidopsis_00h","Purines and purine derivatives",29.8806673026536
"6","Arabidopsis_00h","Pyridinecarboxylic acids and derivatives",0.000922826284061523
"7","Arabidopsis_00h","Pyrimidine 2'-deoxyribonucleosides",0.0130358821018442
"8","Arabidopsis_00h","Pyrimidines and pyrimidine derivatives",0.11686196882859
"9","Arabidopsis_00h","Unknown",28.6922404297557
"10","Arabidopsis_02h","Alcohols and polyols",0.153464749256598
"11","Arabidopsis_02h","Amino acids, peptides, and analogues",36.0567229216957
"12","Arabidopsis_02h","Fatty acids and conjugates",0.00059297949258489
"13","Arabidopsis_02h","Methoxyphenols",0.00719877436044975
"14","Arabidopsis_02h","Purines and purine derivatives",45.4846172919848
"15","Arabidopsis_02h","Pyridinecarboxylic acids and derivatives",0.00169302842222319
"16","Arabidopsis_02h","Pyrimidine 2'-deoxyribonucleosides",0.0154444010514546
"17","Arabidopsis_02h","Pyrimidines and pyrimidine derivatives",0.643600686069165
"18","Arabidopsis_02h","Unknown",17.636665167667
"19","Arabidopsis_04h","Alcohols and polyols",0.153848603592993
"20","Arabidopsis_04h","Amino acids, peptides, and analogues",26.049912202339
"21","Arabidopsis_04h","Fatty acids and conjugates",0.00244760176270234
"22","Arabidopsis_04h","Methoxyphenols",2.83811993448686e-05
"23","Arabidopsis_04h","Purines and purine derivatives",42.9325958223083
"24","Arabidopsis_04h","Pyridinecarboxylic acids and derivatives",0.000555538160306207
"25","Arabidopsis_04h","Pyrimidine 2'-deoxyribonucleosides",0.0167719150721482
"26","Arabidopsis_04h","Pyrimidines and pyrimidine derivatives",0.563907887066637
"27","Arabidopsis_04h","Unknown",30.2799320484986
"28","Arabidopsis_1d","Alcohols and polyols",0.222237824320959
"29","Arabidopsis_1d","Amino acids, peptides, and analogues",15.9433141399763
"30","Arabidopsis_1d","Fatty acids and conjugates",0
"31","Arabidopsis_1d","Methoxyphenols",0.000223553218584732
"32","Arabidopsis_1d","Purines and purine derivatives",43.9740499113579
"33","Arabidopsis_1d","Pyridinecarboxylic acids and derivatives",0.000858123930049162
"34","Arabidopsis_1d","Pyrimidine 2'-deoxyribonucleosides",0.0998983405355277
"35","Arabidopsis_1d","Pyrimidines and pyrimidine derivatives",0.128191844025066
"36","Arabidopsis_1d","Unknown",39.6312262626356
"37","Arabidopsis_4d","Alcohols and polyols",0.632343821075039
"38","Arabidopsis_4d","Amino acids, peptides, and analogues",15.4745156450072
"39","Arabidopsis_4d","Fatty acids and conjugates",0
"40","Arabidopsis_4d","Methoxyphenols",0.000285396208948451
"41","Arabidopsis_4d","Purines and purine derivatives",16.5513514289496
"42","Arabidopsis_4d","Pyridinecarboxylic acids and derivatives",0.00168844020768102
"43","Arabidopsis_4d","Pyrimidine 2'-deoxyribonucleosides",0.165832655115
"44","Arabidopsis_4d","Pyrimidines and pyrimidine derivatives",0.155983734306731
"45","Arabidopsis_4d","Unknown",67.0179988791299
"46","Arabidopsis_p5h","Alcohols and polyols",0.0721246899460398
"47","Arabidopsis_p5h","Amino acids, peptides, and analogues",49.8949932053783
"48","Arabidopsis_p5h","Fatty acids and conjugates",0
"49","Arabidopsis_p5h","Methoxyphenols",0.000538677192555856
"50","Arabidopsis_p5h","Purines and purine derivatives",28.4716350023664
"51","Arabidopsis_p5h","Pyridinecarboxylic acids and derivatives",0.000922657596452439
"52","Arabidopsis_p5h","Pyrimidine 2'-deoxyribonucleosides",0.0136062065208185
"53","Arabidopsis_p5h","Pyrimidines and pyrimidine derivatives",0.124617753395244
"54","Arabidopsis_p5h","Unknown",21.4215618076042
